"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","41","A value of 7 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","41","The class 'ClassDumper' has a NCSS line count of 144 (Highest = 24).","Design","NcssCount"
"3","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","41","The class 'ClassDumper' has a total cyclomatic complexity of 35 (highest 6).","Design","CyclomaticComplexity"
"4","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","41","This class has 2 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","63","The constructor 'ClassDumper(FileImageInputStream, String)' has a NCSS line count of 3.","Design","NcssCount"
"6","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","63","The constructor 'ClassDumper(FileImageInputStream, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","63","The constructor 'ClassDumper(FileImageInputStream, String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","63","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","78","The method 'dump()' has a NCSS line count of 13.","Design","NcssCount"
"10","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","78","The method 'dump()' has a cognitive complexity of 2, current threshold is 1","Design","CognitiveComplexity"
"11","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","78","The method 'dump()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"12","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","78","The method 'dump()' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"13","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","114","The method 'processID()' has a NCSS line count of 8.","Design","NcssCount"
"14","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","114","The method 'processID()' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"15","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","114","The method 'processID()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"16","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","114","The method 'processID()' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"17","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","130","The method 'processVersion()' has a NCSS line count of 5.","Design","NcssCount"
"18","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","130","The method 'processVersion()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"19","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","130","The method 'processVersion()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"20","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","143","The method 'processConstantPool()' has a NCSS line count of 19.","Design","NcssCount"
"21","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","143","The method 'processConstantPool()' has a cognitive complexity of 8, current threshold is 1","Design","CognitiveComplexity"
"22","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","143","The method 'processConstantPool()' has a cyclomatic complexity of 6.","Design","CyclomaticComplexity"
"23","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","143","The method 'processConstantPool()' has an NPath complexity of 10, current threshold is 1","Design","NPathComplexity"
"24","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","178","The method 'processClassInfo()' has a NCSS line count of 14.","Design","NcssCount"
"25","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","178","The method 'processClassInfo()' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
"26","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","178","The method 'processClassInfo()' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"27","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","178","The method 'processClassInfo()' has an NPath complexity of 6, current threshold is 1","Design","NPathComplexity"
"28","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","209","The method 'processInterfaces()' has a NCSS line count of 15.","Design","NcssCount"
"29","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","209","The method 'processInterfaces()' has a cognitive complexity of 5, current threshold is 1","Design","CognitiveComplexity"
"30","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","209","The method 'processInterfaces()' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"31","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","209","The method 'processInterfaces()' has an NPath complexity of 4, current threshold is 1","Design","NPathComplexity"
"32","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","237","The method 'processFields()' has a NCSS line count of 9.","Design","NcssCount"
"33","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","237","The method 'processFields()' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
"34","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","237","The method 'processFields()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"35","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","237","The method 'processFields()' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"36","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","258","The method 'processMethods()' has a NCSS line count of 9.","Design","NcssCount"
"37","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","258","The method 'processMethods()' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
"38","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","258","The method 'processMethods()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"39","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","258","The method 'processMethods()' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"40","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","278","The method 'processAttributes()' has a NCSS line count of 8.","Design","NcssCount"
"41","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","278","The method 'processAttributes()' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"42","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","278","The method 'processAttributes()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"43","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","278","The method 'processAttributes()' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"44","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","297","The method 'processFieldOrMethod()' has a NCSS line count of 24.","Design","NcssCount"
"45","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","297","The method 'processFieldOrMethod()' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
"46","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","297","The method 'processFieldOrMethod()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"47","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","297","The method 'processFieldOrMethod()' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"48","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","341","The method 'constantToString(int)' has a NCSS line count of 3.","Design","NcssCount"
"49","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","341","The method 'constantToString(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"50","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","341","The method 'constantToString(int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"51","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","341","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"52","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","348","A value of 2 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"53","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","348","The class 'DumpClass' has a NCSS line count of 8 (Highest = 7).","Design","NcssCount"
"54","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","348","The class 'DumpClass' has a total cyclomatic complexity of 3 (highest 3).","Design","CyclomaticComplexity"
"55","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","348","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"56","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","350","The method 'main(String[])' has a NCSS line count of 7.","Design","NcssCount"
"57","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","350","The method 'main(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"58","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","350","The method 'main(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"59","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","350","The method 'main(String[])' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"60","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/ClassDumper.java","3","350","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","63","A value of 9 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","63","The class 'HelloWorldBuilder' has a NCSS line count of 54 (Highest = 53).","Design","NcssCount"
"3","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","63","The class 'HelloWorldBuilder' has a total cyclomatic complexity of 2 (highest 2).","Design","CyclomaticComplexity"
"4","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","63","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","64","The method 'main(String[])' has a NCSS line count of 53.","Design","NcssCount"
"6","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","64","The method 'main(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"7","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","64","The method 'main(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"8","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","64","The method 'main(String[])' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"9","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/HelloWorldBuilder.java","3","64","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","60","A value of 30 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","60","The class 'JasminVisitor' has a NCSS line count of 149 (Highest = 69).","Design","NcssCount"
"3","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","60","The class 'JasminVisitor' has a total cyclomatic complexity of 45 (highest 18).","Design","CyclomaticComplexity"
"4","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","60","This class has 11 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","66","The constructor 'JasminVisitor(JavaClass, OutputStream)' has a NCSS line count of 5.","Design","NcssCount"
"6","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","66","The constructor 'JasminVisitor(JavaClass, OutputStream)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","66","The constructor 'JasminVisitor(JavaClass, OutputStream)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","66","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","76","The method 'disassemble()' has a NCSS line count of 3.","Design","NcssCount"
"10","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","76","The method 'disassemble()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"11","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","76","The method 'disassemble()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"12","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","82","The method 'visitJavaClass(JavaClass)' has a NCSS line count of 10.","Design","NcssCount"
"13","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","82","The method 'visitJavaClass(JavaClass)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"14","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","82","The method 'visitJavaClass(JavaClass)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"15","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","82","The method 'visitJavaClass(JavaClass)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"16","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","82","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"17","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","101","The method 'visitField(Field)' has a NCSS line count of 4.","Design","NcssCount"
"18","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","101","The method 'visitField(Field)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"19","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","101","The method 'visitField(Field)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"20","","/Users/grantnelson/go/src/github.com/apache/commons-bcel/src/examples/JasminVisitor.java","3","101","The method 'visitField(Field)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
