"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","52","A value of 11 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","52","The class 'BaseDynaBeanMapDecorator' has a NCSS line count of 105 (Highest = 12).","Design","NcssCount"
"3","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","52","The class 'BaseDynaBeanMapDecorator' has a total cyclomatic complexity of 39 (highest 5).","Design","CyclomaticComplexity"
"4","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","52","This class has 16 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","67","The constructor 'BaseDynaBeanMapDecorator(DynaBean)' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","67","The constructor 'BaseDynaBeanMapDecorator(DynaBean)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","67","The constructor 'BaseDynaBeanMapDecorator(DynaBean)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","67","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","79","The constructor 'BaseDynaBeanMapDecorator(DynaBean, boolean)' has a NCSS line count of 5.","Design","NcssCount"
"10","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","79","The constructor 'BaseDynaBeanMapDecorator(DynaBean, boolean)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"11","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","79","The constructor 'BaseDynaBeanMapDecorator(DynaBean, boolean)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"12","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","79","The constructor 'BaseDynaBeanMapDecorator(DynaBean, boolean)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"13","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","79","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"14","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","97","The method 'isReadOnly()' has a NCSS line count of 2.","Design","NcssCount"
"15","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","97","The method 'isReadOnly()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"16","org.apache.commons.beanutils2","/Users/grantnelson/go/src/github.com/apache/commons-beanutils/src/main/java/org/apache/commons/beanutils2/BaseDynaBeanMapDecorator.java","3","97","The method 'isReadOnly()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
