"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","32","The interface 'Daemon' has a NCSS line count of 5 (Highest = 1).","Design","NcssCount"
"2","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","32","This class has 4 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"3","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","70","The method 'init(DaemonContext)' has a NCSS line count of 1.","Design","NcssCount"
"4","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","70","The method 'init(DaemonContext)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"5","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","70","The method 'init(DaemonContext)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"6","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","70","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"7","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","84","The method 'start()' has a NCSS line count of 1.","Design","NcssCount"
"8","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","84","The method 'start()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"9","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","84","The method 'start()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"10","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","96","The method 'stop()' has a NCSS line count of 1.","Design","NcssCount"
"11","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","96","The method 'stop()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"12","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","96","The method 'stop()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"13","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","106","The method 'destroy()' has a NCSS line count of 1.","Design","NcssCount"
"14","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","106","The method 'destroy()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"15","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/Daemon.java","3","106","The method 'destroy()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"1","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","25","The interface 'DaemonContext' has a NCSS line count of 3 (Highest = 1).","Design","NcssCount"
"2","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","25","This class has 2 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"3","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","33","The method 'getController()' has a NCSS line count of 1.","Design","NcssCount"
"4","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","33","The method 'getController()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"5","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","33","The method 'getController()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"6","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","41","The method 'getArguments()' has a NCSS line count of 1.","Design","NcssCount"
"7","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","41","The method 'getArguments()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"8","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonContext.java","3","41","The method 'getArguments()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"1","org.apache.commons.daemon","/Users/grantnelson/go/src/github.com/apache/commons-daemon/src/main/java/org/apache/commons/daemon/DaemonController.java","3","24","The interface 'DaemonController' has a NCSS line count of 7 (Highest = 1).","Design","NcssCount"
