"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","68","A value of 5 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","68","The class 'BasicDataSourceExample' has a NCSS line count of 44 (Highest = 31).","Design","NcssCount"
"3","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","68","The class 'BasicDataSourceExample' has a total cyclomatic complexity of 13 (highest 10).","Design","CyclomaticComplexity"
"4","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","68","This class has 4 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","70","The method 'main(String[])' has a NCSS line count of 31.","Design","NcssCount"
"6","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","70","The method 'main(String[])' has a cognitive complexity of 10, current threshold is 1","Design","CognitiveComplexity"
"7","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","70","The method 'main(String[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","70","The method 'main(String[])' has an NPath complexity of 24, current threshold is 1","Design","NPathComplexity"
"9","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","70","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"10","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","111","The method 'setupDataSource(String)' has a NCSS line count of 5.","Design","NcssCount"
"11","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","111","The method 'setupDataSource(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"12","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","111","The method 'setupDataSource(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"13","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","111","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"14","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","118","The method 'printDataSourceStats(DataSource)' has a NCSS line count of 4.","Design","NcssCount"
"15","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","118","The method 'printDataSourceStats(DataSource)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"16","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","118","The method 'printDataSourceStats(DataSource)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"17","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","118","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"18","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","124","The method 'shutdownDataSource(DataSource)' has a NCSS line count of 3.","Design","NcssCount"
"19","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","124","The method 'shutdownDataSource(DataSource)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"20","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","124","The method 'shutdownDataSource(DataSource)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"21","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/BasicDataSourceExample.java","3","124","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/PoolingDataSourceExample.java","3","75","A value of 8 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/PoolingDataSourceExample.java","3","75","The class 'PoolingDataSourceExample' has a NCSS line count of 44 (Highest = 36).","Design","NcssCount"
"3","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/PoolingDataSourceExample.java","3","75","The class 'PoolingDataSourceExample' has a total cyclomatic complexity of 12 (highest 11).","Design","CyclomaticComplexity"
"4","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/PoolingDataSourceExample.java","3","75","This class has 2 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","","/Users/grantnelson/go/src/github.com/apache/commons-dbcp/doc/PoolingDataSourceExample.java","3","77","The method 'main(String[])' has a NCSS line count of 36.","Design","NcssCount"
