"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","34","The class 'AbstractMethodRule' has a NCSS line count of 49 (Highest = 17).","Design","NcssCount"
"2","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","34","The class 'AbstractMethodRule' has a total cyclomatic complexity of 19 (highest 5).","Design","CyclomaticComplexity"
"3","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","34","This class has 10 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"4","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","70","The constructor 'AbstractMethodRule(String)' has a NCSS line count of 2.","Design","NcssCount"
"5","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","70","The constructor 'AbstractMethodRule(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","70","The constructor 'AbstractMethodRule(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","70","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"8","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","83","The constructor 'AbstractMethodRule(String, Class<?>)' has a NCSS line count of 3.","Design","NcssCount"
"9","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","83","The constructor 'AbstractMethodRule(String, Class<?>)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","83","The constructor 'AbstractMethodRule(String, Class<?>)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","83","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"12","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","97","The constructor 'AbstractMethodRule(String, String)' has a NCSS line count of 3.","Design","NcssCount"
"13","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","97","The constructor 'AbstractMethodRule(String, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"14","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","97","The constructor 'AbstractMethodRule(String, String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"15","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","97","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"16","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","125","The method 'isExactMatch()' has a NCSS line count of 2.","Design","NcssCount"
"17","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","125","The method 'isExactMatch()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"18","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","125","The method 'isExactMatch()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"19","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","137","The method 'setFireOnBegin(boolean)' has a NCSS line count of 2.","Design","NcssCount"
"20","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","137","The method 'setFireOnBegin(boolean)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"21","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","137","The method 'setFireOnBegin(boolean)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"22","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","137","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"23","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","149","The method 'isFireOnBegin()' has a NCSS line count of 2.","Design","NcssCount"
"24","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","149","The method 'isFireOnBegin()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
