"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","37","A value of 8 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","37","Possible God Class (WMC=56, ATFD=11, TCC=2.614%)","Design","GodClass"
"3","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","37","The class 'CommandLine' has a NCSS line count of 154 (Highest = 49).","Design","NcssCount"
"4","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","37","The class 'CommandLine' has a total cyclomatic complexity of 56 (highest 18).","Design","CyclomaticComplexity"
"5","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","37","This class has 18 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"6","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","66","The method 'parse(String)' has a NCSS line count of 2.","Design","NcssCount"
"7","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","66","The method 'parse(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"8","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","66","The method 'parse(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"9","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","66","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"10","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","78","The method 'parse(String, Map<String, ?>)' has a NCSS line count of 13.","Design","NcssCount"
"11","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","78","The method 'parse(String, Map<String, ?>)' has a cognitive complexity of 6, current threshold is 1","Design","CognitiveComplexity"
