"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","38","The class 'DefaultFileItem' has a NCSS line count of 3 (Highest = 2).","Design","NcssCount"
"2","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","38","The class 'DefaultFileItem' has a total cyclomatic complexity of 1 (highest 1).","Design","CyclomaticComplexity"
"3","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","38","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"4","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","63","The constructor 'DefaultFileItem(String, String, boolean, String, int, File)' has a NCSS line count of 2.","Design","NcssCount"
"5","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","63","The constructor 'DefaultFileItem(String, String, boolean, String, int, File)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","63","The constructor 'DefaultFileItem(String, String, boolean, String, int, File)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java","3","63","Avoid long parameter lists (6 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","42","A value of 2 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","42","The class 'DefaultFileItemFactory' has a NCSS line count of 7 (Highest = 2).","Design","NcssCount"
"3","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","42","The class 'DefaultFileItemFactory' has a total cyclomatic complexity of 3 (highest 1).","Design","CyclomaticComplexity"
"4","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","42","This class has 3 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","53","The constructor 'DefaultFileItemFactory()' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","53","The constructor 'DefaultFileItemFactory()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","53","The constructor 'DefaultFileItemFactory()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","70","The constructor 'DefaultFileItemFactory(int, File)' has a NCSS line count of 2.","Design","NcssCount"
"9","org.apache.commons.fileupload","/Users/grantnelson/go/src/github.com/apache/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java","3","70","The constructor 'DefaultFileItemFactory(int, File)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
