"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","56","A value of 10 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","56","Possible God Class (WMC=329, ATFD=22, TCC=0.130%)","Design","GodClass"
"3","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","56","The class 'JexlArithmetic' has a NCSS line count of 654 (Highest = 57).","Design","NcssCount"
"4","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","56","The class 'JexlArithmetic' has a total cyclomatic complexity of 329 (highest 27).","Design","CyclomaticComplexity"
"5","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","56","This class has 52 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"6","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","59","The class 'NullOperand' has a NCSS line count of 1 (Highest = -2147483648).","Design","NcssCount"
"7","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","90","The constructor 'JexlArithmetic(boolean)' has a NCSS line count of 2.","Design","NcssCount"
"8","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","90","The constructor 'JexlArithmetic(boolean)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"9","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","90","The constructor 'JexlArithmetic(boolean)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"10","org.apache.commons.jexl3","/Users/grantnelson/go/src/github.com/apache/commons-jexl/src/main/java/org/apache/commons/jexl3/JexlArithmetic.java","3","90","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
