"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","32","A value of 2 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","32","The class 'AbstractFactory' has a NCSS line count of 5 (Highest = 2).","Design","NcssCount"
"3","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","32","The class 'AbstractFactory' has a total cyclomatic complexity of 2 (highest 1).","Design","CyclomaticComplexity"
"4","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","32","This class has 2 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","55","The method 'createObject(JXPathContext, Pointer, Object, String, int)' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","55","The method 'createObject(JXPathContext, Pointer, Object, String, int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","55","The method 'createObject(JXPathContext, Pointer, Object, String, int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","55","Avoid long parameter lists (5 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","69","The method 'declareVariable(JXPathContext, String)' has a NCSS line count of 2.","Design","NcssCount"
"10","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","69","The method 'declareVariable(JXPathContext, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"11","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","69","The method 'declareVariable(JXPathContext, String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"12","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/AbstractFactory.java","3","69","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","30","A value of 3 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","30","The class 'BasicNodeSet' has a NCSS line count of 40 (Highest = 8).","Design","NcssCount"
"3","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","30","The class 'BasicNodeSet' has a total cyclomatic complexity of 16 (highest 3).","Design","CyclomaticComplexity"
"4","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","30","This class has 7 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","40","The method 'add(Pointer)' has a NCSS line count of 3.","Design","NcssCount"
"6","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","40","The method 'add(Pointer)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"7","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","40","The method 'add(Pointer)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"8","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","40","The method 'add(Pointer)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"9","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","40","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"10","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","50","The method 'add(NodeSet)' has a NCSS line count of 3.","Design","NcssCount"
"11","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","50","The method 'add(NodeSet)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"12","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","50","The method 'add(NodeSet)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"13","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","50","The method 'add(NodeSet)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"14","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","50","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"15","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","60","The method 'remove(Pointer)' has a NCSS line count of 3.","Design","NcssCount"
"16","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","60","The method 'remove(Pointer)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"17","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","60","The method 'remove(Pointer)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"18","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","60","The method 'remove(Pointer)' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"19","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","60","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"20","org.apache.commons.jxpath","/Users/grantnelson/go/src/github.com/apache/commons-jxpath/src/main/java/org/apache/commons/jxpath/BasicNodeSet.java","3","66","The method 'getPointers()' has a NCSS line count of 4.","Design","NcssCount"
