"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","50","A value of 4 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","50","The class 'DatagramSocketClient' has a NCSS line count of 54 (Highest = 5).","Design","NcssCount"
"3","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","50","The class 'DatagramSocketClient' has a total cyclomatic complexity of 18 (highest 2).","Design","CyclomaticComplexity"
"4","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","50","This class has 16 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","82","The constructor 'DatagramSocketClient()' has a NCSS line count of 5.","Design","NcssCount"
"6","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","82","The constructor 'DatagramSocketClient()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","82","The constructor 'DatagramSocketClient()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","102","The method 'open()' has a NCSS line count of 4.","Design","NcssCount"
"9","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","102","The method 'open()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","102","The method 'open()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","122","The method 'open(int)' has a NCSS line count of 4.","Design","NcssCount"
"12","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","122","The method 'open(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"13","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","122","The method 'open(int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"14","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","122","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"15","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","144","The method 'open(int, InetAddress)' has a NCSS line count of 4.","Design","NcssCount"
"16","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","144","The method 'open(int, InetAddress)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"17","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","144","The method 'open(int, InetAddress)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"18","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","144","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"19","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","159","The method 'close()' has a NCSS line count of 5.","Design","NcssCount"
"20","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","159","The method 'close()' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"21","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","159","The method 'close()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"22","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","159","The method 'close()' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"23","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","174","The method 'isOpen()' has a NCSS line count of 2.","Design","NcssCount"
"24","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","174","The method 'isOpen()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"25","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","174","The method 'isOpen()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"26","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","191","The method 'setDefaultTimeout(int)' has a NCSS line count of 2.","Design","NcssCount"
"27","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","191","The method 'setDefaultTimeout(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"28","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","191","The method 'setDefaultTimeout(int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"29","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","191","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"30","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","204","The method 'getDefaultTimeout()' has a NCSS line count of 2.","Design","NcssCount"
"31","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","204","The method 'getDefaultTimeout()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"32","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","204","The method 'getDefaultTimeout()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"33","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","219","The method 'setSoTimeout(int)' has a NCSS line count of 2.","Design","NcssCount"
"34","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","219","The method 'setSoTimeout(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"35","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","219","The method 'setSoTimeout(int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"36","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","219","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"37","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","233","The method 'getSoTimeout()' has a NCSS line count of 2.","Design","NcssCount"
"38","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","233","The method 'getSoTimeout()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"39","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","233","The method 'getSoTimeout()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"40","org.apache.commons.net","/Users/grantnelson/go/src/github.com/apache/commons-net/src/main/java/org/apache/commons/net/DatagramSocketClient.java","3","247","The method 'getLocalPort()' has a NCSS line count of 2.","Design","NcssCount"
