"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","52","A value of 2 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","52","The class 'BasePerformanceTest' has a NCSS line count of 23 (Highest = 2).","Design","NcssCount"
"3","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","52","The class 'BasePerformanceTest' has a total cyclomatic complexity of 9 (highest 1).","Design","CyclomaticComplexity"
"4","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","52","This class has 10 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","65","The method 'constructorCache()' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","65","The method 'constructorCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","65","The method 'constructorCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","73","The method 'declaredMethodCache()' has a NCSS line count of 2.","Design","NcssCount"
"9","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","73","The method 'declaredMethodCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","73","The method 'declaredMethodCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","81","The method 'fieldCache()' has a NCSS line count of 2.","Design","NcssCount"
"12","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","81","The method 'fieldCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"13","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","81","The method 'fieldCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"14","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","89","The method 'findParameterTypeCache()' has a NCSS line count of 2.","Design","NcssCount"
"15","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","89","The method 'findParameterTypeCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"16","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","89","The method 'findParameterTypeCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"17","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","97","The method 'methodCache()' has a NCSS line count of 2.","Design","NcssCount"
"18","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","97","The method 'methodCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"19","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","97","The method 'methodCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"20","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","105","The method 'methodParameterTypeCache()' has a NCSS line count of 2.","Design","NcssCount"
"21","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","105","The method 'methodParameterTypeCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"22","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","105","The method 'methodParameterTypeCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"23","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","113","The method 'permissionCache()' has a NCSS line count of 2.","Design","NcssCount"
"24","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","113","The method 'permissionCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"25","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","113","The method 'permissionCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"26","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","121","The method 'primitiveCache()' has a NCSS line count of 2.","Design","NcssCount"
"27","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","121","The method 'primitiveCache()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"28","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","121","The method 'primitiveCache()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"29","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","129","The method 'compiler()' has a NCSS line count of 2.","Design","NcssCount"
"30","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","129","The method 'compiler()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"31","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/BasePerformanceTest.java","3","129","The method 'compiler()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"1","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/PerformanceCommonsOgnlTest.java","3","35","The class 'PerformanceCommonsOgnlTest' has a NCSS line count of 5 (Highest = 2).","Design","NcssCount"
"2","org.apache.commons.ognl.performance","/Users/grantnelson/go/src/github.com/apache/commons-ognl/src/benchmarks/java/org/apache/commons/ognl/performance/PerformanceCommonsOgnlTest.java","3","35","The class 'PerformanceCommonsOgnlTest' has a total cyclomatic complexity of 2 (highest 1).","Design","CyclomaticComplexity"
