"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","24","The class 'ValidateBean' has a NCSS line count of 36 (Highest = 2).","Design","NcssCount"
"2","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","24","The class 'ValidateBean' has a total cyclomatic complexity of 17 (highest 1).","Design","CyclomaticComplexity"
"3","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","24","This class has 17 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"4","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","28","The method 'setLastName(String)' has a NCSS line count of 2.","Design","NcssCount"
"5","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","28","The method 'setLastName(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","28","The method 'setLastName(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","28","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"8","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","32","The method 'setFirstName(String)' has a NCSS line count of 2.","Design","NcssCount"
"9","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","32","The method 'setFirstName(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","32","The method 'setFirstName(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","32","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"12","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","36","The method 'setStreet1(String)' has a NCSS line count of 2.","Design","NcssCount"
"13","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","36","The method 'setStreet1(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"14","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","36","The method 'setStreet1(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"15","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","36","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"16","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","40","The method 'setStreet2(String)' has a NCSS line count of 2.","Design","NcssCount"
"17","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","40","The method 'setStreet2(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"18","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","40","The method 'setStreet2(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"19","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","40","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"20","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","44","The method 'setCity(String)' has a NCSS line count of 2.","Design","NcssCount"
"21","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","44","The method 'setCity(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"22","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","44","The method 'setCity(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"23","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","44","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"24","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","48","The method 'setState(String)' has a NCSS line count of 2.","Design","NcssCount"
"25","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","48","The method 'setState(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"26","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","48","The method 'setState(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"27","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","48","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"28","org.apache.commons.validator.example","/Users/grantnelson/go/src/github.com/apache/commons-validator/src/example/org/apache/commons/validator/example/ValidateBean.java","3","52","The method 'setPostalCode(String)' has a NCSS line count of 2.","Design","NcssCount"
