"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","25","The class 'ChangeLastModificationTime' has a NCSS line count of 11 (Highest = 9).","Design","NcssCount"
"2","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","25","The class 'ChangeLastModificationTime' has a total cyclomatic complexity of 3 (highest 2).","Design","CyclomaticComplexity"
"3","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","25","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"4","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","26","The constructor 'ChangeLastModificationTime()' has a NCSS line count of 1.","Design","NcssCount"
"5","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","26","The constructor 'ChangeLastModificationTime()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","26","The constructor 'ChangeLastModificationTime()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","30","The method 'main(String[])' has a NCSS line count of 9.","Design","NcssCount"
"8","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","30","The method 'main(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"9","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","30","The method 'main(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"10","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","30","The method 'main(String[])' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ChangeLastModificationTime.java","3","30","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","47","A value of 11 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","47","Possible God Class (WMC=69, ATFD=39, TCC=28.333%)","Design","GodClass"
"3","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","47","The class 'Shell' has a NCSS line count of 187 (Highest = 30).","Design","NcssCount"
"4","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","47","The class 'Shell' has a total cyclomatic complexity of 69 (highest 11).","Design","CyclomaticComplexity"
"5","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","47","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"6","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","52","The constructor 'Shell()' has a NCSS line count of 4.","Design","NcssCount"
"7","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","52","The constructor 'Shell()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"8","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","52","The constructor 'Shell()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"9","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","58","The method 'main(String[])' has a NCSS line count of 6.","Design","NcssCount"
"10","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","58","The method 'main(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"11","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","58","The method 'main(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"12","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","58","The method 'main(String[])' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"13","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","58","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"14","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","68","The method 'go()' has a NCSS line count of 15.","Design","NcssCount"
"15","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","68","The method 'go()' has a cognitive complexity of 10, current threshold is 1","Design","CognitiveComplexity"
"16","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","68","The method 'go()' has a cyclomatic complexity of 7.","Design","CyclomaticComplexity"
"17","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","68","The method 'go()' has an NPath complexity of 5, current threshold is 1","Design","NPathComplexity"
"18","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","94","The method 'handleCommand(String[])' has a NCSS line count of 30.","Design","NcssCount"
"19","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","94","The method 'handleCommand(String[])' has a cognitive complexity of 11, current threshold is 1","Design","CognitiveComplexity"
"20","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","94","The method 'handleCommand(String[])' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"21","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","94","The method 'handleCommand(String[])' has an NPath complexity of 11, current threshold is 1","Design","NPathComplexity"
"22","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","94","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"23","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","119","The method 'info(String[])' has a NCSS line count of 19.","Design","NcssCount"
"24","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","119","The method 'info(String[])' has a cognitive complexity of 17, current threshold is 1","Design","CognitiveComplexity"
"25","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","119","The method 'info(String[])' has a cyclomatic complexity of 9.","Design","CyclomaticComplexity"
"26","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","119","The method 'info(String[])' has an NPath complexity of 25, current threshold is 1","Design","NPathComplexity"
"27","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","119","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"28","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","148","The method 'info(String)' has a NCSS line count of 9.","Design","NcssCount"
"29","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","148","The method 'info(String)' has a cognitive complexity of 4, current threshold is 1","Design","CognitiveComplexity"
"30","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","148","The method 'info(String)' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"31","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","148","The method 'info(String)' has an NPath complexity of 9, current threshold is 1","Design","NPathComplexity"
"32","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","148","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"33","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","164","The method 'help()' has a NCSS line count of 12.","Design","NcssCount"
"34","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","164","The method 'help()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"35","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","164","The method 'help()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"36","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","181","The method 'rm(String[])' has a NCSS line count of 5.","Design","NcssCount"
"37","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","181","The method 'rm(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"38","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","181","The method 'rm(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"39","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","181","The method 'rm(String[])' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"40","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","181","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"41","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","193","The method 'cp(String[])' has a NCSS line count of 8.","Design","NcssCount"
"42","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","193","The method 'cp(String[])' has a cognitive complexity of 3, current threshold is 1","Design","CognitiveComplexity"
"43","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","193","The method 'cp(String[])' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"44","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","193","The method 'cp(String[])' has an NPath complexity of 4, current threshold is 1","Design","NPathComplexity"
"45","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","193","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"46","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","210","The method 'cat(String[])' has a NCSS line count of 6.","Design","NcssCount"
"47","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","210","The method 'cat(String[])' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"48","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","210","The method 'cat(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"49","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","210","The method 'cat(String[])' has an NPath complexity of 2, current threshold is 1","Design","NPathComplexity"
"50","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","210","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"51","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","226","The method 'pwd()' has a NCSS line count of 2.","Design","NcssCount"
"52","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","226","The method 'pwd()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"53","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","226","The method 'pwd()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"54","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","233","The method 'cd(String[])' has a NCSS line count of 12.","Design","NcssCount"
"55","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","233","The method 'cd(String[])' has a cognitive complexity of 4, current threshold is 1","Design","CognitiveComplexity"
"56","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","233","The method 'cd(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"57","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","233","The method 'cd(String[])' has an NPath complexity of 4, current threshold is 1","Design","NPathComplexity"
"58","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","233","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"59","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","254","The method 'ls(String[])' has a NCSS line count of 23.","Design","NcssCount"
"60","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","254","The method 'ls(String[])' has a cognitive complexity of 7, current threshold is 1","Design","CognitiveComplexity"
"61","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","254","The method 'ls(String[])' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"62","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","254","The method 'ls(String[])' has an NPath complexity of 12, current threshold is 1","Design","NPathComplexity"
"63","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","254","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"64","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","289","The method 'touch(String[])' has a NCSS line count of 7.","Design","NcssCount"
"65","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","289","The method 'touch(String[])' has a cognitive complexity of 2, current threshold is 1","Design","CognitiveComplexity"
"66","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","289","The method 'touch(String[])' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"67","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","289","The method 'touch(String[])' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"68","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","289","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"69","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","303","The method 'listChildren(FileObject, boolean, String)' has a NCSS line count of 11.","Design","NcssCount"
"70","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","303","The method 'listChildren(FileObject, boolean, String)' has a cognitive complexity of 8, current threshold is 1","Design","CognitiveComplexity"
"71","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","303","The method 'listChildren(FileObject, boolean, String)' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"72","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","303","The method 'listChildren(FileObject, boolean, String)' has an NPath complexity of 4, current threshold is 1","Design","NPathComplexity"
"73","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","303","Avoid long parameter lists (3 parameters - threshold is 1).","Design","ExcessiveParameterList"
"74","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","323","The method 'nextCommand()' has a NCSS line count of 10.","Design","NcssCount"
"75","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","323","The method 'nextCommand()' has a cognitive complexity of 2, current threshold is 1","Design","CognitiveComplexity"
"76","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","323","The method 'nextCommand()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"77","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","323","The method 'nextCommand()' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"78","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","337","The method 'getVersion(Class<?>)' has a NCSS line count of 4.","Design","NcssCount"
"79","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","337","The method 'getVersion(Class<?>)' has a cognitive complexity of 1, current threshold is 1","Design","CognitiveComplexity"
"80","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","337","The method 'getVersion(Class<?>)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"81","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","337","The method 'getVersion(Class<?>)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"82","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/Shell.java","3","337","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","31","A value of 3 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","31","The class 'ShowProperties' has a NCSS line count of 44 (Highest = 41).","Design","NcssCount"
"3","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","31","The class 'ShowProperties' has a total cyclomatic complexity of 11 (highest 10).","Design","CyclomaticComplexity"
"4","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","31","This class has 1 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","35","The constructor 'ShowProperties()' has a NCSS line count of 1.","Design","NcssCount"
"6","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","35","The constructor 'ShowProperties()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","35","The constructor 'ShowProperties()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","39","The method 'main(String[])' has a NCSS line count of 41.","Design","NcssCount"
"9","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","39","The method 'main(String[])' has a cognitive complexity of 21, current threshold is 1","Design","CognitiveComplexity"
"10","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","39","The method 'main(String[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","org.apache.commons.vfs2.example","/Users/grantnelson/go/src/github.com/apache/commons-vfs/commons-vfs2-examples/src/main/java/org/apache/commons/vfs2/example/ShowProperties.java","3","39","The method 'main(String[])' has an NPath complexity of 9, current threshold is 1","Design","NPathComplexity"
