"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","40","A value of 7 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","40","The class 'BenchmarkConnection' has a NCSS line count of 9 (Highest = 3).","Design","NcssCount"
"3","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","40","The class 'BenchmarkConnection' has a total cyclomatic complexity of 3 (highest 1).","Design","CyclomaticComplexity"
"4","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","44","The constructor 'BenchmarkConnection(H1Config, Stats)' has a NCSS line count of 3.","Design","NcssCount"
"5","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","44","The constructor 'BenchmarkConnection(H1Config, Stats)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","44","The constructor 'BenchmarkConnection(H1Config, Stats)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","44","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"8","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","50","The method 'createContentOutputStream(long, SessionOutputBuffer, OutputStream, Supplier<List<? extends Header>>)' has a NCSS line count of 2.","Design","NcssCount"
"9","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","50","The method 'createContentOutputStream(long, SessionOutputBuffer, OutputStream, Supplier<List<? extends Header>>)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.hc.core5.http.benchmark","/Users/grantnelson/go/src/github.com/apache/httpcomponents-core/httpcore5-ab/src/main/java/org/apache/hc/core5/http/benchmark/BenchmarkConnection.java","3","50","The method 'createContentOutputStream(long, SessionOutputBuffer, OutputStream, Supplier<List<? extends Header>>)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
